Province/State,Country/Region,Lat,Long,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20,11/11/20,11/12/20,11/13/20,11/14/20,11/15/20,11/16/20,11/17/20
Saitama,Japan,35.9967,35.9967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,6,9,9,10,10,15,17,23,30,32,32,32,37,38,42,45,52,54,55,62,63,70,76,82,87,89,105,108,123,139,167,186,202,224,264,314,351,382,418,439,474,530,577,605,648,668,679,689,719,749,777,792,805,814,816,833,841,845,872,878,883,898,902,916,931,943,945,946,946,950,956,961,965,967,969,972,975,976,977,978,978,978,978,979,981,983,983,983,983,983,985,986,986,987,987,988,990,995,998,999,1001,1001,1001,1002,1003,1005,1007,1015,1020,1025,1035,1050,1062,1075,1085,1091,1103,1116,1131,1165,1178,1205,1224,1250,1297,1325,1366,1409,1444,1458,1489,1530,1584,1640,1712,1761,1791,1847,1881,1948,2007,2040,2069,2095,2160,2219,2273,2338,2405,2486,2527,2576,2633,2728,2774,2860,2907,2952,2989,3034,3084,3138,3209,3240,3289,3321,3368,3447,3490,3555,3604,3625,3664,3703,3785,3830,3893,3941,3965,4009,4043,4093,4115,4143,4165,4181,4192,4206,4238,4269,4309,4329,4346,4362,4387,4410,4435,4454,4474,4498,4507,4516,4532,4560,4586,4623,4641,4669,4693,4723,4754,4807,4847,4863,4885,4914,4956,4993,5080,5133,5141,5164,5213,5269,5315,5371,5404,5429,5462,5518,5554,5593,5637,5663,5689,5721,5761,5795,5828,5903,5931,5944,5980,6012,6060,6163,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182
Wakayama,Japan,33.9094,33.9094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,9,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,16,17,17,17,17,17,17,17,17,17,17,17,18,19,21,22,22,23,24,27,34,34,37,38,38,39,39,40,42,43,44,45,45,46,47,49,50,54,57,59,59,60,60,62,62,62,62,62,62,62,62,62,62,62,62,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,69,75,80,80,84,84,84,86,89,89,93,94,99,108,110,113,119,127,131,138,141,149,160,165,168,170,172,172,172,173,175,178,182,183,187,188,192,194,196,208,209,217,221,223,225,226,226,227,227,227,229,229,229,229,230,230,230,231,231,232,234,234,234,235,235,235,236,236,236,236,236,236,236,236,237,237,238,238,238,240,240,241,242,242,242,242,242,242,242,242,243,244,250,250,250,252,253,255,255,256,256,256,256,261,266,269,271,271,273,273,274,274,275,276,276,276,278,279,280,280,280,289,289,289,289,289,289,289,289,289,289,289
Okinawa,Japan,25.7711,25.7711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,8,9,9,9,9,9,12,16,16,24,38,38,41,48,56,65,72,76,86,94,101,110,115,121,125,130,132,133,134,137,137,141,141,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,145,145,146,148,148,148,148,149,149,149,150,151,155,155,158,167,179,188,196,219,251,294,351,428,475,527,601,665,741,823,910,1074,1150,1193,1269,1329,1464,1539,1585,1630,1674,1728,1778,1821,1847,1879,1899,1929,1967,1999,2030,2074,2099,2131,2153,2158,2165,2196,2215,2231,2236,2248,2256,2268,2284,2290,2302,2308,2313,2318,2325,2333,2352,2362,2372,2379,2391,2398,2404,2419,2439,2453,2474,2499,2519,2549,2582,2601,2616,2644,2667,2694,2726,2744,2757,2767,2786,2803,2843,2871,2908,2930,2960,2989,3021,3059,3100,3144,3179,3195,3233,3255,3289,3322,3352,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357,3357
Fukuoka,Japan,33.5225,33.5225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,6,9,9,12,16,22,26,29,46,78,100,119,146,162,176,200,224,250,289,332,362,376,406,436,463,479,503,519,522,542,563,575,587,601,612,620,625,638,641,644,647,647,648,649,650,651,651,653,654,654,655,656,657,657,657,658,658,658,658,658,659,662,667,672,674,682,703,729,746,758,774,780,786,792,797,799,802,805,808,810,812,821,822,825,826,827,830,833,838,838,838,838,841,842,844,844,845,845,846,851,855,858,862,868,877,879,891,899,902,908,918,922,924,928,937,953,973,1003,1028,1060,1121,1184,1256,1304,1365,1452,1481,1541,1668,1799,1968,2069,2223,2270,2359,2482,2618,2908,2908,3017,3089,3135,3220,3366,3489,3565,3638,3688,3733,3836,3906,3994,4065,4125,4175,4228,4288,4352,4418,4494,4571,4601,4638,4687,4723,4756,4782,4814,4831,4842,4868,4892,4909,4923,4932,4939,4950,4961,4970,4979,4988,4994,4995,4997,4998,5003,5008,5014,5018,5019,5023,5031,5035,5039,5046,5049,5049,5053,5061,5069,5080,5093,5096,5097,5104,5117,5122,5130,5133,5136,5140,5147,5154,5163,5168,5173,5179,5183,5188,5196,5202,5212,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221,5221
Ishikawa,Japan,36.7658,36.7658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,11,13,15,16,24,32,43,45,57,68,82,95,113,118,125,131,140,151,170,176,179,188,193,214,216,222,226,235,241,249,250,251,254,260,265,268,268,271,275,277,277,278,282,283,284,284,285,286,287,287,290,290,293,294,295,295,295,295,296,297,298,298,298,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,301,303,303,303,304,306,307,307,310,310,313,314,316,319,321,322,322,323,323,324,326,330,339,357,365,380,394,409,423,432,446,462,481,500,524,530,549,564,572,583,590,601,611,615,620,624,626,653,666,677,681,697,704,708,712,718,722,724,730,730,731,736,736,742,744,750,754,756,760,761,763,771,774,776,776,776,777,777,777,777,777,778,778,778,779,780,780,780,781,783,786,788,793,795,795,795,795,795,797,797,798,798,800,802,803,804,810,812,812,813,813,815,816,819,822,822,822,822,822,822,822,822,822,822,822
Kumamoto,Japan,32.615,32.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,11,11,12,14,14,15,15,18,18,19,20,22,22,23,24,25,27,28,31,33,33,35,37,40,41,42,43,44,45,45,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,51,52,54,57,58,60,80,119,139,162,173,200,217,237,251,287,326,337,346,353,356,358,365,375,386,394,406,408,411,419,435,446,477,482,489,490,499,502,506,514,525,528,536,543,543,549,553,558,561,562,565,570,578,581,583,584,584,585,585,586,586,586,586,586,586,587,587,587,587,587,588,589,590,593,596,605,624,643,656,663,672,690,697,706,718,731,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741,741
Tochigi,Japan,36.6892,36.6892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,6,10,11,11,11,12,12,14,17,17,17,17,17,19,22,26,31,32,35,35,36,38,40,42,44,44,46,49,51,52,52,52,53,54,54,54,54,54,54,54,54,54,54,54,55,56,56,56,56,57,57,58,60,60,60,61,62,64,64,64,64,64,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,69,71,74,78,82,84,86,86,87,87,88,90,90,93,93,95,98,105,107,112,118,124,133,136,139,143,148,151,159,166,167,171,188,191,195,195,199,202,214,225,231,239,245,247,255,257,266,270,273,274,281,282,286,288,290,292,292,293,293,296,299,301,306,307,307,307,310,311,312,313,313,314,318,320,323,323,328,338,338,359,368,369,375,376,385,387,400,400,400,400,400,400,400,400,402,404,405,406,407,409,411,414,415,415,417,417,417,417,419,425,426,432,438,439,440,445,446,446,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449
Nagano,Japan,36.13,36.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,8,8,8,9,9,10,11,12,14,14,19,21,28,28,29,36,38,45,45,47,47,52,54,57,60,63,66,66,66,66,66,66,66,67,70,70,72,72,73,74,75,75,75,75,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,79,79,80,81,83,84,84,84,86,86,86,86,88,90,92,94,100,103,103,111,114,119,122,125,126,127,127,131,132,134,138,140,145,148,148,149,150,152,154,163,169,172,183,185,194,200,219,241,253,260,265,272,284,288,290,291,294,296,297,299,300,300,300,300,301,303,303,303,305,305,307,307,307,307,307,307,309,309,309,313,314,315,316,317,317,317,320,321,322,324,324,324,324,324,324,327,330,330,330,330,331,333,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334,334
Tokushima,Japan,33.9181,33.9181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,14,16,18,23,25,26,28,28,30,36,53,55,56,58,60,61,63,71,82,87,91,92,96,97,98,105,105,107,110,112,120,125,128,129,129,131,134,138,142,146,146,146,146,147,147,147,147,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,150,150,150,150,150,150,150,150,150,150,150,150,150,158,159,160,163,164,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Gifu,Japan,35.7775,35.7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,5,8,11,12,15,17,19,20,24,26,31,37,40,47,58,59,70,77,87,98,109,112,119,128,132,136,136,137,139,140,145,147,149,149,149,149,149,149,149,149,149,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,151,151,151,151,151,151,151,152,153,153,153,153,153,153,154,154,155,155,155,156,156,156,156,156,156,156,156,156,156,156,157,160,160,160,160,160,160,161,162,162,162,162,164,165,166,169,173,173,177,184,199,204,214,217,226,233,249,271,296,317,335,345,354,369,385,408,425,442,453,468,474,481,488,493,503,512,516,519,523,529,533,538,539,543,546,549,551,551,552,555,555,557,562,563,564,564,564,564,564,566,569,574,580,591,593,594,596,596,596,597,597,597,599,601,606,610,615,616,617,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,623,626,636,640,647,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648,648
Shizuoka,Japan,35.0169,35.0169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,10,13,14,14,16,17,17,20,27,31,33,38,41,41,46,47,48,50,50,52,52,52,57,58,59,60,63,64,67,68,71,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,74,74,75,75,75,75,75,75,75,75,75,75,76,76,76,77,77,77,77,78,79,79,79,79,79,80,81,81,82,82,82,82,82,82,82,82,82,82,82,83,83,83,84,88,88,88,89,91,93,94,94,96,96,98,99,101,104,107,110,111,115,121,126,133,163,188,202,220,235,252,259,283,299,312,320,333,339,345,352,365,376,382,388,395,403,416,422,424,432,436,438,440,445,449,455,463,469,478,487,489,489,489,490,492,494,496,503,503,503,503,508,512,513,513,513,513,515,519,522,526,528,531,531,531,531,531,535,538,541,541,543,547,557,560,566,567,567,568,574,574,574,575,575,576,576,577,580,584,588,589,589,589,592,594,598,601,602,605,614,629,643,652,664,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665,665
Kochi,Japan,33.4211,33.4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,8,9,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,14,15,17,17,21,23,23,33,34,38,39,39,49,55,60,60,60,61,62,62,64,64,68,69,69,70,71,71,73,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,76,76,76,76,76,77,77,78,78,78,79,80,80,80,80,80,81,81,82,82,82,83,83,83,83,83,83,83,83,87,101,103,103,104,105,105,107,109,109,109,119,119,119,124,125,125,125,129,130,130,131,132,132,134,134,134,134,137,137,137,137,137,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,139,139,139,139,139,140,140,140,140,140,140,140,140,140,141,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
Niigata,Japan,37.5189,37.5189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,6,6,6,6,8,11,11,14,14,16,16,19,21,22,24,25,27,27,27,28,29,29,30,31,31,31,32,32,32,35,35,35,35,37,39,41,41,42,42,42,45,46,47,53,56,56,56,58,61,62,66,68,71,71,76,76,76,78,78,78,78,79,79,79,82,82,82,82,82,82,82,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,85,85,85,85,86,86,86,87,87,87,87,89,89,89,90,90,90,92,92,92,92,93,94,94,97,99,103,112,114,116,119,120,120,124,126,128,128,128,129,129,129,129,129,130,130,133,137,138,138,140,140,140,140,140,141,143,143,143,145,145,146,146,147,147,147,147,148,149,149,150,150,150,150,152,154,159,163,163,166,166,166,166,169,170,171,171,171,171,171,171,171,171,171,171,172,177,177,178,178,180,180,180,181,181,181,181,181,181,181,181,181,181,182,183,183,183,184,184,184,185,185,185,185,185,187,189,190,197,197,197,197,197,197,197,197,197,197
Miyagi,Japan,38.4456,38.4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,5,7,11,12,18,20,23,26,32,34,36,38,45,51,54,64,65,78,79,83,83,84,84,84,84,84,85,85,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,89,89,89,89,90,90,91,91,92,92,94,94,94,95,95,97,98,98,98,98,99,100,100,105,106,108,110,112,126,129,132,132,136,136,138,140,140,142,142,147,151,155,160,162,167,170,176,178,179,183,183,184,184,184,185,186,186,186,186,186,187,188,189,191,193,193,193,193,193,193,194,200,203,204,208,211,215,227,230,238,241,250,257,267,275,291,303,309,312,331,337,346,350,365,366,368,371,375,383,386,389,393,398,402,407,413,418,425,428,434,443,455,461,474,484,486,494,499,504,509,522,526,526,530,539,544,546,565,572,605,611,657,681,691,703,727,742,776,788,788,788,788,788,788,788,788,788,788,788,788,788,788,788
Hyogo,Japan,35.0369,35.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,8,10,12,16,25,38,46,56,67,79,84,86,91,95,101,107,113,115,119,119,120,123,131,133,138,156,165,173,183,195,211,217,246,273,304,343,368,384,395,409,441,467,493,509,515,532,550,567,598,611,626,631,635,641,647,650,655,661,671,673,678,681,684,687,694,698,698,699,701,702,704,704,704,704,704,704,704,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,706,707,708,708,709,710,710,711,711,711,712,714,714,715,716,718,720,722,723,727,731,734,744,744,745,754,766,783,807,820,841,848,860,890,931,951,979,1021,1033,1066,1112,1165,1227,1259,1319,1346,1378,1430,1491,1540,1595,1643,1669,1699,1735,1783,1817,1870,1907,1931,1956,2005,2040,2079,2112,2136,2144,2167,2195,2217,2243,2263,2276,2284,2305,2316,2330,2343,2352,2368,2374,2392,2414,2435,2449,2469,2484,2492,2515,2535,2551,2563,2584,2589,2616,2629,2630,2638,2650,2672,2688,2698,2716,2731,2752,2781,2796,2811,2818,2836,2852,2879,2895,2907,2919,2927,2940,2959,2973,2991,3008,3021,3026,3039,3053,3070,3091,3139,3154,3160,3170,3199,3216,3236,3264,3279,3289,3341,3377,3420,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469,3469
Ehime,Japan,33.6219,33.6219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,9,9,11,18,19,20,21,23,25,26,28,29,30,37,39,40,41,41,44,45,46,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,49,68,70,70,71,73,74,74,75,77,79,80,80,81,81,81,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,83,83,83,83,84,84,85,87,89,89,89,89,92,95,99,100,100,100,100,100,102,107,107,107,108,109,110,110,110,110,111,111,111,113,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,115,115,115,115,115,115,115,115,115,115,115,115,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,117,117,117
Oita,Japan,33.1992,33.1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,8,13,21,22,23,25,25,27,27,28,28,29,29,30,31,32,32,33,35,41,41,42,42,42,43,45,50,54,54,54,54,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,62,64,66,66,68,69,71,74,75,76,80,87,92,92,93,93,93,96,103,110,116,125,132,134,137,138,138,140,140,144,145,145,145,146,146,148,151,152,156,157,157,157,157,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,161,161,162,162,162,162,162,162,162,162,162,162,162
Yamaguchi,Japan,34.1986,34.1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6,6,7,8,12,13,16,17,17,18,19,23,24,25,28,30,30,30,30,31,31,31,31,31,31,31,32,32,32,32,34,34,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,41,42,42,42,42,42,45,47,47,47,50,51,51,53,53,55,58,58,59,60,61,65,70,76,78,78,78,79,81,82,83,83,83,85,89,99,106,110,113,118,119,133,140,156,163,167,170,174,176,176,180,183,183,183,188,192,194,194,194,194,194,194,195,195,195,195,195,195,195,195,195,196,198,198,200,201,201,201,201,201,201,204,206,207,208,209,209,209,209,209,209,209,209,209,209,209,209,210,211,213,213,213,213,213,213,213,213,213,213,214,215,222,223,225,225,225,225,225,225,225,225,225,225,225,225
